n,growth_factor,load_threshold,seed,repetition,input_type,elapsed_time,time_per_operation,collisions,collisions_per_operation,rehashes,rehash_operations,final_capacity,final_size,final_load_factor,unused_capacity,utilization,insert_cost,rehash_cost,total_operation_cost,amortized_cost,estimated_memory,initial_capacity,hash_a,hash_b,hash_prime
1000,2.0,0.9,44,3,random,0.0008991000067908317,8.991000067908317e-07,475,0.475,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,187032,16,1199085610155232937,1617812241682181496,2305843009213693951
1000,3.0,0.5,44,3,random,0.0007388999947579578,7.388999947579578e-07,240,0.24,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307480,16,1199085610155232937,1617812241682181496,2305843009213693951
1000,3.0,0.75,44,3,random,0.0008502999990014359,8.50299999001436e-07,377,0.377,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307480,16,1199085610155232937,1617812241682181496,2305843009213693951
1000,3.0,0.9,44,3,random,0.0005052999913459644,5.052999913459644e-07,413,0.413,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134360,16,1199085610155232937,1617812241682181496,2305843009213693951
1000,1.5,0.5,45,4,random,0.001122599991504103,1.122599991504103e-06,303,0.303,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,189072,16,963130306873368709,594124941275654819,2305843009213693951
1000,1.5,0.75,45,4,random,0.001010599997243844,1.010599997243844e-06,450,0.45,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140928,16,963130306873368709,594124941275654819,2305843009213693951
1000,1.5,0.9,45,4,random,0.001105699993786402,1.105699993786402e-06,507,0.507,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140928,16,963130306873368709,594124941275654819,2305843009213693951
1000,2.0,0.5,45,4,random,0.0007228000031318516,7.228000031318516e-07,291,0.291,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,186712,16,963130306873368709,594124941275654819,2305843009213693951
1000,2.0,0.75,45,4,random,0.0008405999979004264,8.405999979004263e-07,392,0.392,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,186712,16,963130306873368709,594124941275654819,2305843009213693951
1000,2.0,0.9,45,4,random,0.0009103000047616661,9.10300004761666e-07,461,0.461,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,186712,16,963130306873368709,594124941275654819,2305843009213693951
1000,3.0,0.5,45,4,random,0.0007528999994974583,7.528999994974583e-07,230,0.23,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307576,16,963130306873368709,594124941275654819,2305843009213693951
1000,3.0,0.75,45,4,random,0.0008698000019649044,8.698000019649044e-07,380,0.38,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307576,16,963130306873368709,594124941275654819,2305843009213693951
1000,3.0,0.9,45,4,random,0.000506000011228025,5.060000112280249e-07,423,0.423,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134296,16,963130306873368709,594124941275654819,2305843009213693951
1000,1.5,0.5,46,5,random,0.001126899995142594,1.126899995142594e-06,316,0.316,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,188752,16,176127807941085543,92145436972157049,2305843009213693951
1000,1.5,0.75,46,5,random,0.02995869998994749,2.995869998994749e-05,480,0.48,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,139520,16,176127807941085543,92145436972157049,2305843009213693951
1000,1.5,0.9,46,5,random,0.0011404999968362972,1.1404999968362971e-06,523,0.523,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,139520,16,176127807941085543,92145436972157049,2305843009213693951
1000,2.0,0.5,46,5,random,0.0007003999926382676,7.003999926382676e-07,290,0.29,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,187032,16,176127807941085543,92145436972157049,2305843009213693951
1000,2.0,0.75,46,5,random,0.0008061000116867945,8.061000116867945e-07,382,0.382,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,187032,16,176127807941085543,92145436972157049,2305843009213693951
1000,2.0,0.9,46,5,random,0.0008665999921504408,8.665999921504408e-07,452,0.452,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,187032,16,176127807941085543,92145436972157049,2305843009213693951
1000,3.0,0.5,46,5,random,0.0007351999956881627,7.351999956881628e-07,213,0.213,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,308088,16,176127807941085543,92145436972157049,2305843009213693951
1000,3.0,0.75,46,5,random,0.0008417000062763691,8.417000062763691e-07,353,0.353,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,308088,16,176127807941085543,92145436972157049,2305843009213693951
1000,3.0,0.9,46,5,random,0.0005027000006521121,5.027000006521121e-07,390,0.39,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,135192,16,176127807941085543,92145436972157049,2305843009213693951
1000,1.5,0.5,47,6,random,0.0011293999996269122,1.1293999996269122e-06,341,0.341,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,189392,16,144173240364996770,1276607102766329742,2305843009213693951
1000,1.5,0.75,47,6,random,0.0010178999946219847,1.0178999946219846e-06,460,0.46,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,139776,16,144173240364996770,1276607102766329742,2305843009213693951
1000,1.5,0.9,47,6,random,0.0011290999973425642,1.129099997342564e-06,511,0.511,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,139776,16,144173240364996770,1276607102766329742,2305843009213693951
1000,2.0,0.5,47,6,random,0.0007188000017777085,7.188000017777085e-07,335,0.335,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,185656,16,144173240364996770,1276607102766329742,2305843009213693951
1000,2.0,0.75,47,6,random,0.0008410000009462237,8.410000009462238e-07,426,0.426,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,185656,16,144173240364996770,1276607102766329742,2305843009213693951
1000,2.0,0.9,47,6,random,0.0009247999987564981,9.247999987564981e-07,488,0.488,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,185656,16,144173240364996770,1276607102766329742,2305843009213693951
1000,3.0,0.5,47,6,random,0.0008087000023806468,8.087000023806467e-07,228,0.228,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307736,16,144173240364996770,1276607102766329742,2305843009213693951
1000,3.0,0.75,47,6,random,0.0011125000019092113,1.1125000019092114e-06,372,0.372,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307736,16,144173240364996770,1276607102766329742,2305843009213693951
1000,3.0,0.9,47,6,random,0.0005018999945605174,5.018999945605174e-07,405,0.405,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134360,16,144173240364996770,1276607102766329742,2305843009213693951
1000,1.5,0.5,48,7,random,0.0010914000013144687,1.0914000013144688e-06,361,0.361,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,188912,16,727386515324539458,1284136067485901726,2305843009213693951
1000,1.5,0.75,48,7,random,0.0010079000057885423,1.0079000057885424e-06,440,0.44,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140800,16,727386515324539458,1284136067485901726,2305843009213693951
1000,1.5,0.9,48,7,random,0.0010829999955603853,1.0829999955603853e-06,502,0.502,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140800,16,727386515324539458,1284136067485901726,2305843009213693951
1000,2.0,0.5,48,7,random,0.0007272000075317919,7.272000075317919e-07,291,0.291,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,187064,16,727386515324539458,1284136067485901726,2305843009213693951
1000,2.0,0.75,48,7,random,0.0008678000012878329,8.678000012878329e-07,401,0.401,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,187064,16,727386515324539458,1284136067485901726,2305843009213693951
1000,2.0,0.9,48,7,random,0.0009178000036627054,9.178000036627054e-07,466,0.466,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,187064,16,727386515324539458,1284136067485901726,2305843009213693951
1000,3.0,0.5,48,7,random,0.0007542000093962997,7.542000093962998e-07,245,0.245,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307512,16,727386515324539458,1284136067485901726,2305843009213693951
1000,3.0,0.75,48,7,random,0.000847500006784685,8.475000067846849e-07,382,0.382,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307512,16,727386515324539458,1284136067485901726,2305843009213693951
1000,3.0,0.9,48,7,random,0.0004914000019198284,4.914000019198283e-07,422,0.422,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134232,16,727386515324539458,1284136067485901726,2305843009213693951
1000,1.5,0.5,49,8,random,0.0011575999960768968,1.1575999960768967e-06,333,0.333,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,188656,16,793970665397899006,2152094108188559335,2305843009213693951
1000,1.5,0.75,49,8,random,0.0009898999996948987,9.898999996948988e-07,442,0.442,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140288,16,793970665397899006,2152094108188559335,2305843009213693951
1000,1.5,0.9,49,8,random,0.0010814999986905605,1.0814999986905605e-06,500,0.5,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140288,16,793970665397899006,2152094108188559335,2305843009213693951
1000,2.0,0.5,49,8,random,0.0007060999923851341,7.060999923851341e-07,288,0.288,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,186936,16,793970665397899006,2152094108188559335,2305843009213693951
1000,2.0,0.75,49,8,random,0.0008366999973077327,8.366999973077327e-07,402,0.402,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,186936,16,793970665397899006,2152094108188559335,2305843009213693951
1000,2.0,0.9,49,8,random,0.0009274999902117997,9.274999902117997e-07,482,0.482,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,186936,16,793970665397899006,2152094108188559335,2305843009213693951
1000,3.0,0.5,49,8,random,0.000760499999159947,7.60499999159947e-07,245,0.245,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307224,16,793970665397899006,2152094108188559335,2305843009213693951
1000,3.0,0.75,49,8,random,0.0008497000089846551,8.497000089846552e-07,368,0.368,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307224,16,793970665397899006,2152094108188559335,2305843009213693951
1000,3.0,0.9,49,8,random,0.0004981999954907224,4.981999954907223e-07,401,0.401,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134712,16,793970665397899006,2152094108188559335,2305843009213693951
1000,1.5,0.5,50,9,random,0.0011081999982707202,1.1081999982707202e-06,311,0.311,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,190192,16,1973099216186019426,839551891445904909,2305843009213693951
1000,1.5,0.75,50,9,random,0.0010325000039301813,1.0325000039301813e-06,447,0.447,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140288,16,1973099216186019426,839551891445904909,2305843009213693951
1000,1.5,0.9,50,9,random,0.0011017999931937084,1.1017999931937084e-06,487,0.487,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140288,16,1973099216186019426,839551891445904909,2305843009213693951
1000,2.0,0.5,50,9,random,0.0007158000080380589,7.158000080380589e-07,307,0.307,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,186264,16,1973099216186019426,839551891445904909,2305843009213693951
1000,2.0,0.75,50,9,random,0.0008374000026378781,8.374000026378781e-07,399,0.399,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,186264,16,1973099216186019426,839551891445904909,2305843009213693951
1000,2.0,0.9,50,9,random,0.0009034999966388568,9.034999966388568e-07,466,0.466,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,186264,16,1973099216186019426,839551891445904909,2305843009213693951
1000,3.0,0.5,50,9,random,0.0007410999969579279,7.41099996957928e-07,257,0.257,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307256,16,1973099216186019426,839551891445904909,2305843009213693951
1000,3.0,0.75,50,9,random,0.0008588000055169687,8.588000055169686e-07,388,0.388,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307256,16,1973099216186019426,839551891445904909,2305843009213693951
1000,3.0,0.9,50,9,random,0.0005000999954063445,5.000999954063445e-07,434,0.434,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134040,16,1973099216186019426,839551891445904909,2305843009213693951
1000,1.5,0.5,51,10,random,0.0010978999926010147,1.0978999926010146e-06,335,0.335,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,188560,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,1.5,0.75,51,10,random,0.0010018999892054126,1.0018999892054126e-06,458,0.458,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,139744,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,1.5,0.9,51,10,random,0.0010869999969145283,1.0869999969145283e-06,510,0.51,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,139744,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,2.0,0.5,51,10,random,0.0007093000021995977,7.093000021995976e-07,288,0.288,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,186808,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,2.0,0.75,51,10,random,0.0008243999909609556,8.243999909609557e-07,388,0.388,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,186808,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,2.0,0.9,51,10,random,0.0008969999908003956,8.969999908003956e-07,466,0.466,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,186808,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,3.0,0.5,51,10,random,0.000749400001950562,7.49400001950562e-07,228,0.228,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,307352,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,3.0,0.75,51,10,random,0.0008644000045023859,8.644000045023859e-07,370,0.37,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,307352,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,3.0,0.9,51,10,random,0.0004886999959126115,4.886999959126115e-07,418,0.418,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,134616,16,1933427113282973200,1273492775044695229,2305843009213693951
1000,1.5,0.5,52,11,random,0.0010990000009769574,1.0990000009769574e-06,315,0.315,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,189712,16,618696799174358726,2029214271970554437,2305843009213693951
1000,1.5,0.75,52,11,random,0.0010087999980896711,1.0087999980896711e-06,480,0.48,11,2073,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,6219,9219,9.219,140480,16,618696799174358726,2029214271970554437,2305843009213693951
1000,1.5,0.9,52,11,random,0.001106900002923794,1.1069000029237942e-06,523,0.523,11,2484,1395,1000,0.7168458781362007,395,0.7168458781362007,3000,7452,10452,10.452,140480,16,618696799174358726,2029214271970554437,2305843009213693951
1000,2.0,0.5,52,11,random,0.0007122999959392473,7.122999959392473e-07,289,0.289,7,1023,2048,1000,0.48828125,1048,0.48828125,3000,3069,6069,6.069,186936,16,618696799174358726,2029214271970554437,2305843009213693951
1000,2.0,0.75,52,11,random,0.0008394000033149496,8.394000033149496e-07,397,0.397,7,1531,2048,1000,0.48828125,1048,0.48828125,3000,4593,7593,7.593,186936,16,618696799174358726,2029214271970554437,2305843009213693951
1000,2.0,0.9,52,11,random,0.0009164000075543299,9.1640000755433e-07,478,0.478,7,1832,2048,1000,0.48828125,1048,0.48828125,3000,5496,8496,8.496,186936,16,618696799174358726,2029214271970554437,2305843009213693951
1000,3.0,0.5,52,11,random,0.0008050000033108518,8.050000033108517e-07,264,0.264,5,973,3888,1000,0.257201646090535,2888,0.257201646090535,3000,2919,5919,5.919,306872,16,618696799174358726,2029214271970554437,2305843009213693951
1000,3.0,0.75,52,11,random,0.0008644000045023859,8.644000045023859e-07,401,0.401,5,1457,3888,1000,0.257201646090535,2888,0.257201646090535,3000,4371,7371,7.371,306872,16,618696799174358726,2029214271970554437,2305843009213693951
1000,3.0,0.9,52,11,random,0.0005161000008229166,5.161000008229167e-07,428,0.428,4,578,1296,1000,0.7716049382716049,296,0.7716049382716049,3000,1734,4734,4.734,133720,16,618696799174358726,2029214271970554437,2305843009213693951
1000,1.5,0.5,53,12,random,0.0011033999908249825,1.1033999908249826e-06,313,0.313,12,2084,2093,1000,0.47778308647873863,1093,0.47778308647873863,3000,6252,9252,9.252,189008,16,1967359095987829717,498185230560009946,2305843009213693951
