n,gamma_nominal,tau,key_family,repetitions,elapsed_ns_mean,elapsed_ns_median,elapsed_ns_std,elapsed_ns_ci95_low,elapsed_ns_ci95_high,time_per_operation_ns_mean,time_per_operation_ns_median,time_per_operation_ns_std,time_per_operation_ns_ci95_low,time_per_operation_ns_ci95_high,migrations_per_insertion_mean,migrations_per_insertion_median,migrations_per_insertion_std,migrations_per_insertion_ci95_low,migrations_per_insertion_ci95_high,pair_collisions_per_key_mean,pair_collisions_per_key_median,pair_collisions_per_key_std,pair_collisions_per_key_ci95_low,pair_collisions_per_key_ci95_high,key_comparisons_mean,key_comparisons_median,key_comparisons_std,key_comparisons_ci95_low,key_comparisons_ci95_high,bytes_per_element_mean,bytes_per_element_median,bytes_per_element_std,bytes_per_element_ci95_low,bytes_per_element_ci95_high,tracemalloc_peak_bytes_mean,tracemalloc_peak_bytes_median,tracemalloc_peak_bytes_std,tracemalloc_peak_bytes_ci95_low,tracemalloc_peak_bytes_ci95_high,resize_count_mean,resize_count_median,resize_count_std,resize_count_ci95_low,resize_count_ci95_high,max_chain_length_mean,max_chain_length_median,max_chain_length_std,max_chain_length_ci95_low,max_chain_length_ci95_high,bound_ratio_mean,bound_ratio_median,bound_ratio_std,bound_ratio_ci95_low,bound_ratio_ci95_high
1000,2.0,0.8,random,5,9362440.0,9410400.0,251704.992004529,9164200.0,9560680.0,9362.44,9410.4,251.7049920045287,9164.2,9549.82,1.251,1.251,0.0,1.251,1.251,0.2996,0.297,0.017784824992110544,0.287395,0.3142,559.0,552.0,19.11805429430516,547.0,575.0,155.90079999999998,155.92,0.3443533069392565,155.6,156.15696,200215.2,200220.0,185.200431964939,200049.6,200349.6,7.0,7.0,0.0,7.0,7.0,4.4,4.0,0.5477225575051662,4.0,4.8,0.9578802802802804,0.9495675675675675,0.05686159261741853,0.9131195195195196,1.0045593593593594
1000,2.0,0.9,random,5,9786660.0,9622400.0,484918.5787325538,9422880.0,10184660.0,9786.66,9622.4,484.91857873255395,9401.84,10184.66,1.409,1.409,0.0,1.409,1.409,0.2996,0.297,0.017784824992110544,0.28559999999999997,0.3142,621.6,615.0,14.808781178746615,611.195,634.6,155.90079999999998,155.92,0.3443533069392565,155.6384,156.1632,205448.0,205512.0,173.4589288563722,205312.8,205580.8,7.0,7.0,0.0,7.0,7.0,4.4,4.0,0.5477225575051662,4.0,4.8,0.9578802802802804,0.9495675675675675,0.05686159261741853,0.9131195195195195,0.9975255255255254
1000,3.0,0.5,random,5,9144940.0,9142500.0,449635.48903528514,8770340.0,9479960.0,9144.939999999999,9142.5,449.6354890352847,8786.12,9455.060000000001,0.776,0.776,0.0,0.776,0.776,0.14320000000000002,0.143,0.008438009243891589,0.1366,0.1504,266.2,264.0,14.307340773183533,255.2,277.2,258.9696,259.072,0.24931265511402137,258.7648,259.1488,308465.6,308492.0,229.2875923376579,308278.4,308652.0,5.0,5.0,0.0,5.0,5.0,3.4,3.0,0.5477225575051661,3.0,3.8,0.9067899899899899,0.9055235235235236,0.05343227875561385,0.8674662062062062,0.9485833833833835
1000,3.0,0.7,random,5,11616160.0,9823700.0,4255412.089093135,9557160.0,15445260.0,11616.16,9823.7,4255.412089093135,9596.003,15390.4,1.087,1.087,0.0,1.087,1.087,0.14320000000000002,0.143,0.008438009243891589,0.137,0.1498,396.0,392.0,31.376742979474464,371.0,423.8,258.9696,259.072,0.24931265511402137,258.7648,259.1488,321734.4,321812.0,233.0253205126001,321540.32,321888.8,5.0,5.0,0.0,5.0,5.0,3.4,3.0,0.5477225575051661,3.0,3.8,0.9067899899899899,0.9055235235235236,0.05343227875561385,0.8649965965965967,0.9485833833833835
1000,3.0,0.8,random,5,12900120.0,10817100.0,3149170.535553767,10647460.0,15570700.0,12900.119999999999,10817.1,3149.1705355537674,10647.305999999999,15570.7,1.243,1.243,0.0,1.243,1.243,0.14320000000000002,0.143,0.008438009243891589,0.1366,0.1498,475.2,482.0,30.144651266849976,452.4,500.0,258.9696,259.072,0.24931265511402137,258.76480000000004,259.136,327609.6,328308.0,1891.0898445076584,325901.6,328569.6,5.0,5.0,0.0,5.0,5.0,3.4,3.0,0.5477225575051661,3.0,3.8,0.9067899899899899,0.9055235235235236,0.05343227875561385,0.8649965965965967,0.9485833833833833
1000,3.0,0.9,random,5,10903400.0,10885400.0,458733.4029695243,10559280.0,11265040.0,10903.4,10885.4,458.73340296952443,10559.98,11247.52,1.399,1.399,0.0,1.399,1.399,0.14320000000000002,0.143,0.008438009243891589,0.136595,0.1498,574.2,585.0,19.62651268055535,559.0,589.0,258.9696,259.072,0.24931265511402137,258.76480000000004,259.1488,335131.2,335104.0,133.33866656000427,335032.8,335248.8,5.0,5.0,0.0,5.0,5.0,3.4,3.0,0.5477225575051661,3.0,3.8,0.9067899899899899,0.9055235235235236,0.05343227875561385,0.8637301301301303,0.9485833833833835
1000,4.0,0.5,random,5,8206140.0,8244800.0,207717.44750983245,8027287.0,8337520.0,8206.14,8244.8,207.71744750983237,8027.3,8337.52,0.507,0.507,0.0,0.507,0.507,0.18060000000000004,0.146,0.09048646307597619,0.13640000000000002,0.2622,276.0,237.0,85.68255365008679,234.6,353.0,253.3696,254.144,2.0983071271861027,251.48160000000001,254.4128,272332.0,272288.0,106.28264204469139,272251.2,272423.2,4.0,4.0,0.0,4.0,4.0,3.8,4.0,0.8366600265340756,3.2,4.4,1.113248048048048,0.899967967967968,0.5577734130348961,0.8321621621621622,1.6150418318318318
1000,4.0,0.7,random,5,8884560.0,8997600.0,690605.9607330363,8289400.0,9372120.0,8884.56,8997.6,690.6059607330361,8289.4,9376.6,0.71,0.71,0.0,0.71,0.71,0.18060000000000004,0.146,0.09048646307597619,0.135,0.262,359.4,339.0,68.49306534241259,320.2,421.2,253.3696,254.144,2.0983071271861027,251.4752,254.41279999999998,283127.2,283124.0,269.998518514454,282902.4,283325.0,4.0,4.0,0.0,4.0,4.0,3.8,4.0,0.8366600265340756,3.2,4.4,1.113248048048048,0.899967967967968,0.5577734130348961,0.8321621621621622,1.6065969269269265
1000,4.0,0.8,random,5,9052700.0,8961200.0,222016.5872181626,8878000.0,9233920.0,9052.7,8961.2,222.01658721816236,8894.3525,9233.92,0.812,0.812,0.0,0.812,0.812,0.18060000000000004,0.146,0.09048646307597619,0.13640000000000002,0.2622,411.6,389.0,63.2281582841063,373.4,469.6,253.3696,254.144,2.0983071271861027,251.4368,254.4128,288062.4,288132.0,256.5556469852106,287877.6,288248.0,4.0,4.0,0.0,4.0,4.0,3.8,4.0,0.8366600265340756,3.2,4.4,1.113248048048048,0.899967967967968,0.5577734130348961,0.8321621621621622,1.615011011011011
1000,4.0,0.9,random,5,9138360.0,9095800.0,339413.49855301867,8869300.0,9376360.0,9138.359999999997,9095.8,339.41349855301866,8874.780000000002,9399.76,0.914,0.914,0.0,0.914,0.914,0.18060000000000004,0.146,0.09048646307597619,0.13640000000000002,0.2622,470.4,456.0,56.087431747228365,431.2,517.8,253.3696,254.144,2.0983071271861027,251.48160000000001,254.45120000000003,292984.8,293048.0,255.2551664511416,292780.0,293176.0,4.0,4.0,0.0,4.0,4.0,3.8,4.0,0.8366600265340756,3.2,4.4,1.113248048048048,0.899967967967968,0.5577734130348961,0.840791991991992,1.6162438438438436
