n,gamma_nominal,tau,key_family,repetitions,elapsed_ns_mean,elapsed_ns_median,elapsed_ns_std,elapsed_ns_ci95_low,elapsed_ns_ci95_high,time_per_operation_ns_mean,time_per_operation_ns_median,time_per_operation_ns_std,time_per_operation_ns_ci95_low,time_per_operation_ns_ci95_high,migrations_per_insertion_mean,migrations_per_insertion_median,migrations_per_insertion_std,migrations_per_insertion_ci95_low,migrations_per_insertion_ci95_high,pair_collisions_per_key_mean,pair_collisions_per_key_median,pair_collisions_per_key_std,pair_collisions_per_key_ci95_low,pair_collisions_per_key_ci95_high,key_comparisons_mean,key_comparisons_median,key_comparisons_std,key_comparisons_ci95_low,key_comparisons_ci95_high,bytes_per_element_mean,bytes_per_element_median,bytes_per_element_std,bytes_per_element_ci95_low,bytes_per_element_ci95_high,tracemalloc_peak_bytes_mean,tracemalloc_peak_bytes_median,tracemalloc_peak_bytes_std,tracemalloc_peak_bytes_ci95_low,tracemalloc_peak_bytes_ci95_high,resize_count_mean,resize_count_median,resize_count_std,resize_count_ci95_low,resize_count_ci95_high,max_chain_length_mean,max_chain_length_median,max_chain_length_std,max_chain_length_ci95_low,max_chain_length_ci95_high,bound_ratio_mean,bound_ratio_median,bound_ratio_std,bound_ratio_ci95_low,bound_ratio_ci95_high
1000,2.0,0.8,random,30,24959913.333333332,26527950.0,7564258.758805183,22366970.666666668,27652951.75,24959.91333333333,26527.949999999997,7564.258758805183,22455.800916666674,27588.03266666667,1.2509999999999997,1.251,2.2584051416334807e-16,1.2509999999999997,1.2509999999999997,0.33183333333333326,0.2985,0.17274898738828592,0.2921324999999999,0.3997683333333333,588.0666666666667,557.5,122.2865299299103,552.0883333333334,636.7658333333333,155.43359999999998,155.904,2.0306402183921515,154.61197333333328,155.94773333333333,200085.6,200236.0,809.9393591604505,199753.2,200308.22,7.0,7.0,0.0,7.0,7.0,4.5,4.0,0.8610338613230188,4.233333333333333,4.833333333333333,1.0609366032699366,0.9543633633633634,0.5523125782964815,0.9354945712379047,1.3498699783116448
1000,2.0,0.9,random,30,23247110.0,22826600.0,5686327.987699062,21258684.25,25350511.333333332,23247.109999999997,22826.6,5686.327987699062,21164.331916666666,25266.585750000002,1.4089999999999998,1.409,2.2584051416334807e-16,1.4089999999999998,1.4089999999999998,0.33183333333333326,0.2985,0.17274898738828592,0.29373166666666656,0.39900166666666664,651.3,617.0,111.90949237110594,617.4958333333333,692.8425000000001,155.43359999999998,155.904,2.0306402183921515,154.65029333333337,155.93834666666672,205265.06666666668,205540.0,907.6903213873275,204870.02,205520.27,7.0,7.0,0.0,7.0,7.0,4.5,4.0,0.8610338613230188,4.266666666666667,4.8,1.0609366032699366,0.9543633633633634,0.5523125782964815,0.9314394594594594,1.2800565131798465
1000,3.0,0.5,random,30,22247413.333333332,21907650.0,4862725.212139959,20577193.916666668,23935620.583333332,22247.41333333333,21907.65,4862.725212139959,20561.667166666666,23964.05283333333,0.776,0.776,0.0,0.776,0.776,0.146,0.1385,0.02652649943761508,0.13813249999999996,0.156675,270.3,266.5,24.280189171563233,262.7325,279.035,258.8704,259.024,0.6483946010113667,258.63464,259.07733333333334,308508.93333333335,308492.0,202.0547780512338,308443.32999999996,308587.2266666667,5.0,5.0,0.0,5.0,5.0,3.5,3.0,0.572351471472339,3.3,3.7008333333333328,0.9245205205205205,0.877028028028028,0.1679746100524054,0.8713236519853186,0.9876327660994328
1000,3.0,0.7,random,30,25119210.0,22952700.0,6362914.834459613,22944476.5,27497780.5,25119.210000000003,22952.699999999997,6362.914834459612,22866.79133333334,27467.859833333336,1.087,1.087,0.0,1.087,1.087,0.146,0.1385,0.02652649943761508,0.13779666666666668,0.15713416666666669,390.23333333333335,389.5,24.15850436871731,382.1666666666667,398.7341666666667,258.8704,259.024,0.6483946010113667,258.5876533333333,259.07202666666666,321886.8,321900.0,234.1450184291188,321802.66333333333,321965.4733333333,5.0,5.0,0.0,5.0,5.0,3.5,3.0,0.572351471472339,3.3,3.7,0.9245205205205205,0.877028028028028,0.1679746100524054,0.8721732399065732,0.9922870303636971
1000,3.0,0.8,random,30,28129866.666666668,26432300.0,9313724.32456657,25000081.666666668,31748818.25,28129.866666666672,26432.300000000003,9313.724324566569,25005.959500000004,31627.31766666666,1.243,1.243,0.0,1.243,1.243,0.146,0.1385,0.02652649943761508,0.13729916666666667,0.15563749999999998,466.2,464.0,19.586061194212792,459.6325,473.3666666666667,258.8704,259.024,0.6483946010113667,258.6271466666667,259.06029333333333,328487.3333333333,328668.0,837.3561568014733,328151.99333333335,328705.20333333337,5.0,5.0,0.0,5.0,5.0,3.5,3.0,0.572351471472339,3.3,3.7,0.9245205205205205,0.877028028028028,0.1679746100524054,0.8757510076743411,0.9842713530196864
1000,3.0,0.9,random,30,27161803.333333332,25601650.0,7832077.315690519,24461748.916666668,29872160.666666664,27161.803333333333,25601.65,7832.077315690521,24597.77308333333,30115.059416666667,1.3990000000000002,1.399,2.2584051416334807e-16,1.3990000000000002,1.3990000000000002,0.146,0.1385,0.02652649943761508,0.13823166666666667,0.15550083333333328,552.3,550.0,17.262976128917813,546.3958333333333,558.3666666666667,258.8704,259.024,0.6483946010113667,258.63253333333336,259.06882666666667,335326.5333333333,335332.0,246.24402437466347,335238.79333333333,335407.68666666665,5.0,5.0,0.0,5.0,5.0,3.5,3.0,0.572351471472339,3.3,3.7,0.9245205205205205,0.877028028028028,0.1679746100524054,0.8744898181514847,0.9863715765765766
1000,4.0,0.5,random,30,18486150.0,17397000.0,4643614.385201282,16942659.75,20164880.166666664,18486.15,17397.0,4643.614385201282,16898.019666666667,20101.967583333328,0.5069999999999999,0.507,1.1292025708167404e-16,0.5069999999999999,0.5069999999999999,0.15793333333333337,0.146,0.0438869498577435,0.14493166666666665,0.17450500000000002,256.8666666666667,243.0,43.7703515882717,243.9625,273.97249999999997,253.89653333333337,254.176,1.0501802713338566,253.4773066666667,254.19850666666667,272322.5333333333,272400.0,421.71077957433744,272148.87333333335,272450.83,4.0,4.0,0.0,4.0,4.0,3.5,3.0,0.572351471472339,3.3,3.7,0.973526993660327,0.899967967967968,0.270526363587572,0.8983241908575241,1.0721947147147148
1000,4.0,0.7,random,30,23251120.0,21962350.0,9101555.797600077,20233896.083333336,26721878.166666668,23251.12,21962.35,9101.555797600076,20293.346999999998,26637.428916666664,0.7100000000000002,0.71,2.2584051416334807e-16,0.7100000000000002,0.7100000000000002,0.15793333333333337,0.146,0.0438869498577435,0.1451975,0.17447333333333334,345.56666666666666,337.5,43.31734010789431,331.16,360.9025,253.89653333333337,254.176,1.0501802713338566,253.47607999999997,254.20802666666663,283074.8,283190.0,512.5903385476689,282870.07,283226.8333333333,4.0,4.0,0.0,4.0,4.0,3.5,3.0,0.572351471472339,3.3,3.7,0.973526993660327,0.899967967967968,0.270526363587572,0.8915436102769436,1.0908772689356023
1000,4.0,0.8,random,30,25410753.333333332,26500950.0,7711861.225309799,22680771.083333336,28137682.666666664,25410.753333333338,26500.949999999997,7711.861225309801,22795.445666666667,28208.730416666665,0.8120000000000002,0.812,1.1292025708167404e-16,0.8120000000000002,0.8120000000000002,0.15793333333333337,0.146,0.0438869498577435,0.14483333333333334,0.17496916666666665,402.93333333333334,393.5,44.651858928236415,389.43333333333334,418.5425,253.89653333333337,254.176,1.0501802713338566,253.5082133333333,254.20693333333335,287951.3333333333,288134.0,629.9986498799618,287709.9666666667,288141.7966666667,4.0,4.0,0.0,4.0,4.0,3.5,3.0,0.572351471472339,3.3,3.7,0.973526993660327,0.899967967967968,0.270526363587572,0.8937935301968635,1.0830487804471138
1000,4.0,0.9,random,30,22908713.333333332,21179650.0,6258728.050834199,20838396.666666668,25284369.166666664,22908.713333333337,21179.65,6258.728050834199,20780.77091666667,25336.169666666665,0.9140000000000003,0.914,2.2584051416334807e-16,0.9140000000000003,0.9140000000000003,0.15793333333333337,0.146,0.0438869498577435,0.14479916666666667,0.17483666666666664,465.23333333333335,452.5,51.42029877817497,449.26166666666666,484.63916666666665,253.89653333333337,254.176,1.0501802713338566,253.48794666666663,254.19850666666667,292891.86666666664,293014.0,735.786688228805,292597.51333333337,293109.35,4.0,4.0,0.0,4.0,4.0,3.5,3.0,0.572351471472339,3.3,3.7,0.973526993660327,0.899967967967968,0.270526363587572,0.8931822505839172,1.0890434300967633
