n,repetition,gamma,tau,probe_collisions,total_probes,resize_count,moved_entries,final_capacity,elapsed_ns
10000,21,1.5,0.5,9250,19250,18,22203,22303,15043900
10000,21,1.5,0.75,30293,40293,17,22160,14867,15791500
10000,21,1.5,0.9,107307,117307,17,26594,14867,24910200
10000,21,2.0,0.5,6979,16979,11,12816,25717,10262500
10000,21,2.0,0.75,25262,35262,11,19226,25717,15029500
10000,21,2.0,0.9,62882,72882,10,11506,12853,15345700
10000,21,3.0,0.5,5359,15359,7,7102,28477,7732400
10000,21,3.0,0.75,16124,26124,7,10655,28477,11064200
10000,21,3.0,0.9,57847,67847,7,12786,28477,16689100
10000,22,1.5,0.5,8982,18982,18,22203,22303,14550300
10000,22,1.5,0.75,31110,41110,17,22160,14867,15942900
10000,22,1.5,0.9,101138,111138,17,26594,14867,24896900
10000,22,2.0,0.5,7177,17177,11,12816,25717,10042300
10000,22,2.0,0.75,24501,34501,11,19226,25717,14992400
10000,22,2.0,0.9,57109,67109,10,11506,12853,13762100
10000,22,3.0,0.5,5351,15351,7,7102,28477,8248800
10000,22,3.0,0.75,15113,25113,7,10655,28477,9944800
10000,22,3.0,0.9,53932,63932,7,12786,28477,15351300
10000,23,1.5,0.5,9179,19179,18,22203,22303,15790600
10000,23,1.5,0.75,31572,41572,17,22160,14867,17921800
10000,23,1.5,0.9,102913,112913,17,26594,14867,29502600
10000,23,2.0,0.5,7193,17193,11,12816,25717,12161900
10000,23,2.0,0.75,24671,34671,11,19226,25717,15841000
10000,23,2.0,0.9,60463,70463,10,11506,12853,14841700
10000,23,3.0,0.5,5132,15132,7,7102,28477,7657100
10000,23,3.0,0.75,17757,27757,7,10655,28477,11637400
10000,23,3.0,0.9,57968,67968,7,12786,28477,16337000
10000,24,1.5,0.5,9443,19443,18,22203,22303,17433100
10000,24,1.5,0.75,33024,43024,17,22160,14867,18490900
10000,24,1.5,0.9,114336,124336,17,26594,14867,34041500
10000,24,2.0,0.5,6656,16656,11,12816,25717,20785800
10000,24,2.0,0.75,24217,34217,11,19226,25717,19376800
10000,24,2.0,0.9,59054,69054,10,11506,12853,13694700
10000,24,3.0,0.5,5226,15226,7,7102,28477,7191500
10000,24,3.0,0.75,16472,26472,7,10655,28477,9687700
10000,24,3.0,0.9,52739,62739,7,12786,28477,13421700
10000,25,1.5,0.5,9152,19152,18,22203,22303,14093200
10000,25,1.5,0.75,29856,39856,17,22160,14867,15297000
10000,25,1.5,0.9,101423,111423,17,26594,14867,24660600
10000,25,2.0,0.5,6966,16966,11,12816,25717,10690100
10000,25,2.0,0.75,24621,34621,11,19226,25717,14795700
10000,25,2.0,0.9,59971,69971,10,11506,12853,13839500
10000,25,3.0,0.5,5213,15213,7,7102,28477,9631700
10000,25,3.0,0.75,15774,25774,7,10655,28477,11523500
10000,25,3.0,0.9,51134,61134,7,12786,28477,13731400
10000,26,1.5,0.5,14866,24866,18,22203,22303,14744600
10000,26,1.5,0.75,46487,56487,17,22160,14867,18869900
10000,26,1.5,0.9,120796,130796,17,26594,14867,25821000
10000,26,2.0,0.5,6635,16635,11,12816,25717,10647300
10000,26,2.0,0.75,24596,34596,11,19226,25717,15053100
10000,26,2.0,0.9,57995,67995,10,11506,12853,16050600
10000,26,3.0,0.5,5396,15396,7,7102,28477,7373200
10000,26,3.0,0.75,15242,25242,7,10655,28477,10006700
10000,26,3.0,0.9,47947,57947,7,12786,28477,13985200
10000,27,1.5,0.5,9128,19128,18,22203,22303,15671600
10000,27,1.5,0.75,30852,40852,17,22160,14867,18022600
10000,27,1.5,0.9,96441,106441,17,26594,14867,26429200
10000,27,2.0,0.5,12842,22842,11,12816,25717,11319500
10000,27,2.0,0.75,38717,48717,11,19226,25717,17230700
10000,27,2.0,0.9,70904,80904,10,11506,12853,17088000
10000,27,3.0,0.5,5092,15092,7,7102,28477,9429700
10000,27,3.0,0.75,15572,25572,7,10655,28477,9163500
10000,27,3.0,0.9,45570,55570,7,12786,28477,13650500
10000,28,1.5,0.5,9702,19702,18,22203,22303,14527600
10000,28,1.5,0.75,30957,40957,17,22160,14867,16122800
10000,28,1.5,0.9,96572,106572,17,26594,14867,24212200
10000,28,2.0,0.5,7177,17177,11,12816,25717,9996300
10000,28,2.0,0.75,25168,35168,11,19226,25717,15966000
10000,28,2.0,0.9,57901,67901,10,11506,12853,14164500
10000,28,3.0,0.5,5317,15317,7,7102,28477,14581300
10000,28,3.0,0.75,16225,26225,7,10655,28477,14001300
10000,28,3.0,0.9,54179,64179,7,12786,28477,14249600
10000,29,1.5,0.5,9459,19459,18,22203,22303,14600800
10000,29,1.5,0.75,32300,42300,17,22160,14867,15739200
10000,29,1.5,0.9,96962,106962,17,26594,14867,24288700
10000,29,2.0,0.5,7321,17321,11,12816,25717,11574400
10000,29,2.0,0.75,25040,35040,11,19226,25717,14968800
10000,29,2.0,0.9,59824,69824,10,11506,12853,13851400
10000,29,3.0,0.5,5043,15043,7,7102,28477,7690100
10000,29,3.0,0.75,15182,25182,7,10655,28477,10019300
10000,29,3.0,0.9,49275,59275,7,12786,28477,13744100
10000,30,1.5,0.5,8908,18908,18,22203,22303,14432000
10000,30,1.5,0.75,30863,40863,17,22160,14867,16623900
10000,30,1.5,0.9,111520,121520,17,26594,14867,26074400
10000,30,2.0,0.5,6955,16955,11,12816,25717,11341700
10000,30,2.0,0.75,24145,34145,11,19226,25717,14080800
10000,30,2.0,0.9,55236,65236,10,11506,12853,14995900
10000,30,3.0,0.5,5296,15296,7,7102,28477,7152100
10000,30,3.0,0.75,16472,26472,7,10655,28477,10021800
10000,30,3.0,0.9,55058,65058,7,12786,28477,15131800
