n,repetition,gamma,tau,probe_collisions,total_probes,resize_count,moved_entries,final_capacity,elapsed_ns
1000,11,1.5,0.5,844,1844,13,2863,2927,1642600
1000,11,1.5,0.75,2917,3917,12,2837,1949,1952700
1000,11,1.5,0.9,8409,9409,11,2246,1289,2142200
1000,11,2.0,0.5,638,1638,8,1579,3203,1125000
1000,11,2.0,0.75,2133,3133,7,1173,1597,1094500
1000,11,2.0,0.9,5353,6353,7,1409,1597,1423100
1000,11,3.0,0.5,556,1556,5,776,3163,815500
1000,11,3.0,0.75,1765,2765,5,1165,3163,1277400
1000,11,3.0,0.9,7919,8919,5,1399,3163,1734100
1000,12,1.5,0.5,849,1849,13,2863,2927,1623200
1000,12,1.5,0.75,2843,3843,12,2837,1949,1809600
1000,12,1.5,0.9,7028,8028,11,2246,1289,1998400
1000,12,2.0,0.5,697,1697,8,1579,3203,1164700
1000,12,2.0,0.75,2080,3080,7,1173,1597,1164100
1000,12,2.0,0.9,6375,7375,7,1409,1597,1569600
1000,12,3.0,0.5,466,1466,5,776,3163,809300
1000,12,3.0,0.75,1686,2686,5,1165,3163,1046900
1000,12,3.0,0.9,4690,5690,5,1399,3163,1388500
1000,13,1.5,0.5,1068,2068,13,2863,2927,2735000
1000,13,1.5,0.75,3300,4300,12,2837,1949,2160300
1000,13,1.5,0.9,9922,10922,11,2246,1289,1985200
1000,13,2.0,0.5,707,1707,8,1579,3203,1047600
1000,13,2.0,0.75,2098,3098,7,1173,1597,1006100
1000,13,2.0,0.9,4353,5353,7,1409,1597,1265600
1000,13,3.0,0.5,462,1462,5,776,3163,746300
1000,13,3.0,0.75,1459,2459,5,1165,3163,948400
1000,13,3.0,0.9,4255,5255,5,1399,3163,1302700
1000,14,1.5,0.5,1029,2029,13,2863,2927,1668600
1000,14,1.5,0.75,3687,4687,12,2837,1949,2130400
1000,14,1.5,0.9,8865,9865,11,2246,1289,2091400
1000,14,2.0,0.5,807,1807,8,1579,3203,1168300
1000,14,2.0,0.75,2057,3057,7,1173,1597,1103900
1000,14,2.0,0.9,5380,6380,7,1409,1597,1512600
1000,14,3.0,0.5,476,1476,5,776,3163,829400
1000,14,3.0,0.75,1890,2890,5,1165,3163,1072200
1000,14,3.0,0.9,5469,6469,5,1399,3163,1455900
1000,15,1.5,0.5,933,1933,13,2863,2927,1777000
1000,15,1.5,0.75,2859,3859,12,2837,1949,1913700
1000,15,1.5,0.9,7919,8919,11,2246,1289,2252200
1000,15,2.0,0.5,598,1598,8,1579,3203,1626100
1000,15,2.0,0.75,1663,2663,7,1173,1597,1377600
1000,15,2.0,0.9,4910,5910,7,1409,1597,1272500
1000,15,3.0,0.5,475,1475,5,776,3163,751800
1000,15,3.0,0.75,1517,2517,5,1165,3163,982700
1000,15,3.0,0.9,4970,5970,5,1399,3163,1376000
1000,16,1.5,0.5,916,1916,13,2863,2927,1748200
1000,16,1.5,0.75,3602,4602,12,2837,1949,2000500
1000,16,1.5,0.9,13262,14262,11,2246,1289,2469000
1000,16,2.0,0.5,678,1678,8,1579,3203,1127200
1000,16,2.0,0.75,1936,2936,7,1173,1597,1065300
1000,16,2.0,0.9,5557,6557,7,1409,1597,2339100
1000,16,3.0,0.5,453,1453,5,776,3163,752200
1000,16,3.0,0.75,1667,2667,5,1165,3163,1024000
1000,16,3.0,0.9,4545,5545,5,1399,3163,1202900
1000,17,1.5,0.5,889,1889,13,2863,2927,1537100
1000,17,1.5,0.75,3159,4159,12,2837,1949,1712700
1000,17,1.5,0.9,6889,7889,11,2246,1289,1761100
1000,17,2.0,0.5,675,1675,8,1579,3203,1064400
1000,17,2.0,0.75,1978,2978,7,1173,1597,992300
1000,17,2.0,0.9,4534,5534,7,1409,1597,1273900
1000,17,3.0,0.5,531,1531,5,776,3163,740300
1000,17,3.0,0.75,1808,2808,5,1165,3163,969600
1000,17,3.0,0.9,6691,7691,5,1399,3163,1746100
1000,18,1.5,0.5,922,1922,13,2863,2927,1586500
1000,18,1.5,0.75,3024,4024,12,2837,1949,1783400
1000,18,1.5,0.9,8236,9236,11,2246,1289,2516100
1000,18,2.0,0.5,900,1900,8,1579,3203,1218800
1000,18,2.0,0.75,2469,3469,7,1173,1597,1019900
1000,18,2.0,0.9,6156,7156,7,1409,1597,1419300
1000,18,3.0,0.5,482,1482,5,776,3163,762800
1000,18,3.0,0.75,1502,2502,5,1165,3163,1008000
1000,18,3.0,0.9,4734,5734,5,1399,3163,1347500
1000,19,1.5,0.5,870,1870,13,2863,2927,1709300
1000,19,1.5,0.75,3057,4057,12,2837,1949,2326400
1000,19,1.5,0.9,7484,8484,11,2246,1289,2080600
1000,19,2.0,0.5,735,1735,8,1579,3203,1109200
1000,19,2.0,0.75,1958,2958,7,1173,1597,1070300
1000,19,2.0,0.9,5277,6277,7,1409,1597,1460900
1000,19,3.0,0.5,736,1736,5,776,3163,832600
1000,19,3.0,0.75,2344,3344,5,1165,3163,1103400
1000,19,3.0,0.9,8710,9710,5,1399,3163,1695700
1000,20,1.5,0.5,823,1823,13,2863,2927,1741000
1000,20,1.5,0.75,3161,4161,12,2837,1949,2124500
1000,20,1.5,0.9,6794,7794,11,2246,1289,2720500
1000,20,2.0,0.5,620,1620,8,1579,3203,1102900
1000,20,2.0,0.75,1793,2793,7,1173,1597,1099500
1000,20,2.0,0.9,5017,6017,7,1409,1597,1463900
1000,20,3.0,0.5,405,1405,5,776,3163,965700
1000,20,3.0,0.75,1661,2661,5,1165,3163,934700
1000,20,3.0,0.9,5340,6340,5,1399,3163,1271000
1000,21,1.5,0.5,938,1938,13,2863,2927,1498700
1000,21,1.5,0.75,3110,4110,12,2837,1949,1672500
1000,21,1.5,0.9,7509,8509,11,2246,1289,1824100
1000,21,2.0,0.5,652,1652,8,1579,3203,1049700
1000,21,2.0,0.75,1979,2979,7,1173,1597,1026400
1000,21,2.0,0.9,5191,6191,7,1409,1597,2227700
1000,21,3.0,0.5,514,1514,5,776,3163,787000
1000,21,3.0,0.75,1658,2658,5,1165,3163,937300
