run_id,git_commit,python_version,platform,cpu,n,gamma_nominal,gamma_effective_mean,tau,m0,final_capacity,final_size,final_load_factor,key_family,key_seed,order_seed,hash_seed,repetition,elapsed_ns,time_per_operation_ns,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,resize_count,moved_entries,migrations_per_insertion,hash_evaluations,key_comparisons,insert_collision_events,pair_collisions,pair_collisions_per_key,universal_pair_bound,bound_ratio,max_chain_length,bucket_assignments,bucket_slots_peak,unused_capacity,structural_bytes_final,bytes_per_element,tracemalloc_peak_bytes,gc_enabled,hash_a,hash_b,hash_prime
n1000-g3-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.8,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,24260700,24260.7,5500.0,7800.0,32504.999999999993,14600100,5,1243,1.243,2243,453,361,143,0.143,157.9196964906734,0.9055235235235236,4,2243,4212,2163,259072,259.072,324244,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g1.5-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,11042,21042,31042,1,21722900,21722.9,5500.0,9100.0,71039.99999999987,5273200,12,2646,2.646,3646,573,443,223,0.223,256.2852744997435,0.8701241241241241,3,3646,3238,949,178768,178.768,275936,True,1055129681217370319,1286563909733345339,2305843009213693951
n1000-g1.25-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,11042,21042,31042,1,29691600,29691.6,5300.0,6200.0,467545.9999999993,4907800,21,4065,4.065,5065,508,364,204,0.204,233.73888628919045,0.8727687687687687,4,5065,3846,1137,192112,192.112,315916,True,1878934463301839021,453752749110972768,2305843009213693951
n1000-g1.25-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.9,11,1361,1000,0.7347538574577517,random,11042,21042,31042,1,27420600,27420.6,5400.0,7504.999999999995,367246.99999999924,4615100,19,4564,4.564,5564,1146,604,330,0.33,367.00955180014694,0.8991591591591592,5,5564,2430,361,139184,139.184,227764,True,335617465972059138,581327705028044665,2305843009213693951
n1000-g4-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,11658400,11658.4,5000.0,5600.0,11018.999999999982,4175100,4,710,0.71,1710,339,288,147,0.147,162.22799610263073,0.9061321321321322,4,1710,3848,2079,254144,254.144,283056,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g1.5-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.9,11,1289,1000,0.7757951900698216,random,11042,21042,31042,1,16376600,16376.6,5200.0,6000.0,67145.99999999996,3430900,11,2246,2.246,3246,742,521,374,0.374,387.5096974398759,0.9651371371371371,5,3246,2146,289,133936,133.936,194808,True,530133399472470732,283097919641614406,2305843009213693951
n1000-g3-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.9,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,14793100,14793.1,5100.0,6000.0,9603.999999999996,6155900,5,1399,1.399,2399,551,425,143,0.143,157.9196964906734,0.9055235235235236,4,2399,4212,2163,259072,259.072,335332,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g2-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,12752700,12752.7,5000.0,6400.0,45917.99999999998,3195500,7,1251,1.251,2251,552,420,309,0.309,312.77395115842205,0.9879339339339339,5,2251,2394,597,155664,155.664,200156,True,216001057262141823,1258409179699703360,2305843009213693951
n1000-g2-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.9,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,13047800,13047.8,5000.0,5800.0,10220.999999999982,3754400,7,1409,1.409,2409,608,448,309,0.309,312.77395115842205,0.9879339339339339,5,2409,2394,597,155664,155.664,205600,True,216001057262141823,1258409179699703360,2305843009213693951
n1000-g4-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.8,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,11566500,11566.5,4900.0,5700.0,8403.999999999996,4415700,4,812,0.812,1812,389,313,147,0.147,162.22799610263073,0.9061321321321322,4,1812,3848,2079,254144,254.144,288132,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g3-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.9,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,16227300,16227.3,5200.0,9400.0,53604.0,6266400,5,1399,1.399,2399,585,442,133,0.133,157.9196964906734,0.8422002002002003,3,2399,4212,2163,259200,259.2,334972,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g2-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.7,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,12974300,12974.3,5100.0,9200.0,42360.99999999994,3419300,7,1093,1.093,2093,522,408,322,0.322,312.77395115842205,1.0294974974974975,5,2093,2394,597,155472,155.472,194872,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.8,11,1289,1000,0.7757951900698216,random,21042,41042,61042,2,16409900,16409.9,5100.0,7704.999999999995,82359.99999999985,3553500,11,1995,1.995,2995,633,454,408,0.408,387.5096974398759,1.0528768768768768,5,2995,2146,289,133712,133.712,189368,True,679054236071952800,436588455935247705,2305843009213693951
n1000-g2-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,12142200,12142.2,4900.0,5704.999999999995,12016.999999999985,3423200,7,1251,1.251,2251,591,452,322,0.322,312.77395115842205,1.0294974974974975,5,2251,2394,597,155472,155.472,199936,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,21042,41042,61042,2,21446000,21446.0,4800.0,6100.0,56831.99999999988,5947800,12,2646,2.646,3646,573,428,237,0.237,256.2852744997435,0.9247507507507506,4,3646,3238,949,178640,178.64,275616,True,2144814820892340122,1985316371921565939,2305843009213693951
n1000-g1.25-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,21042,41042,61042,2,39043900,39043.9,4900.0,5800.0,381797.9999999986,16037000,21,4065,4.065,5065,470,388,213,0.213,233.73888628919045,0.9112732732732733,4,5065,3846,1137,191792,191.792,316164,True,759429550513154110,974343402124578587,2305843009213693951
n1000-g1.5-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5375603143577163,0.5,11,2927,1000,0.341646737273659,random,21042,41042,61042,2,23068000,23068.0,4900.0,5900.0,65934.99999999942,6341600,13,2863,2.863,3863,424,338,145,0.145,170.65254526819268,0.8496796796796797,4,3863,4876,1927,245792,245.792,391040,True,941783115665961295,246585915096447824,2305843009213693951
n1000-g4-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.9,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,12800400,12800.4,5100.0,6809.999999999991,13725.999999999975,4955800,4,914,0.914,1914,417,334,130,0.13,162.22799610263073,0.8013413413413414,4,1914,3848,2079,254592,254.592,293304,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g4-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.5,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,19129600,19129.6,9000.0,12500.0,34043.999999999956,5519800,4,507,0.507,1507,237,206,130,0.13,162.22799610263073,0.8013413413413414,4,1507,3848,2079,254592,254.592,272416,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g2-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.032666219705446,0.5,11,3203,1000,0.3122073056509522,random,21042,41042,61042,2,26165000,26165.0,7600.0,8604.999999999996,29855.999999999858,9632900,8,1579,1.579,2579,351,298,118,0.118,155.94754917265064,0.7566646646646646,3,2579,4800,2203,261760,261.76,368584,True,1847436833828249517,927182782352598258,2305843009213693951
n1000-g3-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.5,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,17864200,17864.2,7400.0,8400.0,15237.999999999965,6170200,5,776,0.776,1776,249,223,133,0.133,157.9196964906734,0.8422002002002003,3,1776,4212,2163,259200,259.2,308428,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g1.25-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.8,11,1361,1000,0.7347538574577517,random,21042,41042,61042,2,47048100,47048.1,8100.0,19100.0,623427.9999999986,7800700,19,4055,4.055,5055,735,510,357,0.357,367.00955180014694,0.9727267267267268,5,5055,2430,361,138352,138.352,220716,True,1075325229156238333,1144060348074079302,2305843009213693951
n1000-g4-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.8,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,22769600,22769.6,10500.0,13204.999999999996,18930.99999999997,6996600,4,812,0.812,1812,363,293,130,0.13,162.22799610263073,0.8013413413413414,4,1812,3848,2079,254592,254.592,288420,True,2011184558553096122,19687810642650080,2305843009213693951
