run_id,git_commit,python_version,platform,cpu,n,gamma_nominal,gamma_effective_mean,tau,m0,final_capacity,final_size,final_load_factor,key_family,key_seed,order_seed,hash_seed,repetition,elapsed_ns,time_per_operation_ns,latency_p50_ns,latency_p95_ns,latency_p99_ns,latency_max_ns,resize_count,moved_entries,migrations_per_insertion,hash_evaluations,key_comparisons,insert_collision_events,pair_collisions,pair_collisions_per_key,universal_pair_bound,bound_ratio,max_chain_length,bucket_assignments,bucket_slots_peak,unused_capacity,structural_bytes_final,bytes_per_element,tracemalloc_peak_bytes,gc_enabled,hash_a,hash_b,hash_prime
n1000-g3-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.8,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,17346700,17346.7,3800.0,5300.0,7002.999999999997,11157900,5,1243,1.243,2243,453,361,143,0.143,157.9196964906734,0.9055235235235236,4,2243,4212,2163,259072,259.072,324244,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g1.5-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,11042,21042,31042,1,14381400,14381.4,3700.0,4500.0,56328.99999999988,3339700,12,2646,2.646,3646,573,443,223,0.223,256.2852744997435,0.8701241241241241,3,3646,3238,949,178768,178.768,275936,True,1055129681217370319,1286563909733345339,2305843009213693951
n1000-g1.25-t0.5-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,11042,21042,31042,1,20818000,20818.0,3900.0,4800.0,238611.9999999989,3456100,21,4065,4.065,5065,508,364,204,0.204,233.73888628919045,0.8727687687687687,4,5065,3846,1137,192112,192.112,315916,True,1878934463301839021,453752749110972768,2305843009213693951
n1000-g1.25-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.9,11,1361,1000,0.7347538574577517,random,11042,21042,31042,1,18880900,18880.9,3700.0,5000.0,222070.999999999,3058700,19,4564,4.564,5564,1146,604,330,0.33,367.00955180014694,0.8991591591591592,5,5564,2430,361,139184,139.184,227764,True,335617465972059138,581327705028044665,2305843009213693951
n1000-g4-t0.7-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,7833800,7833.8,3600.0,3900.0,4701.999999999998,2847600,4,710,0.71,1710,339,288,147,0.147,162.22799610263073,0.9061321321321322,4,1710,3848,2079,254144,254.144,283056,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g1.5-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.9,11,1289,1000,0.7757951900698216,random,11042,21042,31042,1,11765200,11765.2,3700.0,4400.0,44416.99999999989,2703800,11,2246,2.246,3246,742,521,374,0.374,387.5096974398759,0.9651371371371371,5,3246,2146,289,133936,133.936,194808,True,530133399472470732,283097919641614406,2305843009213693951
n1000-g3-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.9,11,3163,1000,0.3161555485298767,random,11042,21042,31042,1,10612100,10612.1,3800.0,4600.0,9201.0,4186900,5,1399,1.399,2399,551,425,143,0.143,157.9196964906734,0.9055235235235236,4,2399,4212,2163,259072,259.072,335332,True,1175790274723732104,1110046690991243311,2305843009213693951
n1000-g2-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,9061100,9061.1,3500.0,4200.0,30513.999999999985,2305700,7,1251,1.251,2251,552,420,309,0.309,312.77395115842205,0.9879339339339339,5,2251,2394,597,155664,155.664,200156,True,216001057262141823,1258409179699703360,2305843009213693951
n1000-g2-t0.9-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.9,11,1597,1000,0.6261740763932373,random,11042,21042,31042,1,9622400,9622.4,3900.0,4500.0,8934.999999999967,2684700,7,1409,1.409,2409,608,448,309,0.309,312.77395115842205,0.9879339339339339,5,2409,2394,597,155664,155.664,205600,True,216001057262141823,1258409179699703360,2305843009213693951
n1000-g4-t0.8-r1-h31042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.8,11,3079,1000,0.3247807729782397,random,11042,21042,31042,1,8961200,8961.2,3900.0,4300.0,5300.999999999999,3460200,4,812,0.812,1812,389,313,147,0.147,162.22799610263073,0.9061321321321322,4,1812,3848,2079,254144,254.144,288132,True,289208513342756656,1737239256259392775,2305843009213693951
n1000-g3-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.9,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,10343400,10343.4,3600.0,4300.0,7203.999999999996,4275900,5,1399,1.399,2399,585,442,133,0.133,157.9196964906734,0.8422002002002003,3,2399,4212,2163,259200,259.2,334972,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g2-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.7,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,9644600,9644.6,3700.0,4300.0,11144.999999999869,2666700,7,1093,1.093,2093,522,408,322,0.322,312.77395115842205,1.0294974974974975,5,2093,2394,597,155472,155.472,194872,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.8,11,1289,1000,0.7757951900698216,random,21042,41042,61042,2,11836400,11836.4,3900.0,4500.0,43620.99999999988,2909600,11,1995,1.995,2995,633,454,408,0.408,387.5096974398759,1.0528768768768768,5,2995,2146,289,133712,133.712,189368,True,679054236071952800,436588455935247705,2305843009213693951
n1000-g2-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,9571100,9571.1,4000.0,4500.0,7100.999999999999,2723300,7,1251,1.251,2251,591,452,322,0.322,312.77395115842205,1.0294974974974975,5,2251,2394,597,155472,155.472,199936,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,21042,41042,61042,2,17394500,17394.5,3900.0,4600.0,41723.999999999796,5338100,12,2646,2.646,3646,573,428,237,0.237,256.2852744997435,0.9247507507507506,4,3646,3238,949,178640,178.64,275616,True,2144814820892340122,1985316371921565939,2305843009213693951
n1000-g1.25-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,21042,41042,61042,2,31090000,31090.0,4000.0,4500.0,282773.9999999991,13066400,21,4065,4.065,5065,470,388,213,0.213,233.73888628919045,0.9112732732732733,4,5065,3846,1137,191792,191.792,316164,True,759429550513154110,974343402124578587,2305843009213693951
n1000-g1.5-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5375603143577163,0.5,11,2927,1000,0.341646737273659,random,21042,41042,61042,2,16585400,16585.4,3700.0,4200.0,82815.99999999972,4375300,13,2863,2.863,3863,424,338,145,0.145,170.65254526819268,0.8496796796796797,4,3863,4876,1927,245792,245.792,391040,True,941783115665961295,246585915096447824,2305843009213693951
n1000-g4-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.9,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,9374300,9374.3,4000.0,4500.0,6000.999999999999,3663100,4,914,0.914,1914,417,334,130,0.13,162.22799610263073,0.8013413413413414,4,1914,3848,2079,254592,254.592,293304,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g4-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.5,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,8359400,8359.4,3600.0,6000.0,10404.999999999996,2917600,4,507,0.507,1507,237,206,130,0.13,162.22799610263073,0.8013413413413414,4,1507,3848,2079,254592,254.592,272416,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g2-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.032666219705446,0.5,11,3203,1000,0.3122073056509522,random,21042,41042,61042,2,12341700,12341.7,3700.0,4100.0,5143.99999999996,4519200,8,1579,1.579,2579,351,298,118,0.118,155.94754917265064,0.7566646646646646,3,2579,4800,2203,261760,261.76,368584,True,1847436833828249517,927182782352598258,2305843009213693951
n1000-g3-t0.5-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.5,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,9063600,9063.6,3900.0,4200.0,8000.999999999999,3210400,5,776,0.776,1776,249,223,133,0.133,157.9196964906734,0.8422002002002003,3,1776,4212,2163,259200,259.2,308428,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g1.25-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.8,11,1361,1000,0.7347538574577517,random,21042,41042,61042,2,18000500,18000.5,4000.0,4700.0,256496.99999999974,3085300,19,4055,4.055,5055,735,510,357,0.357,367.00955180014694,0.9727267267267268,5,5055,2430,361,138352,138.352,220716,True,1075325229156238333,1144060348074079302,2305843009213693951
n1000-g4-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.8,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,9338900,9338.9,3800.0,4604.999999999995,9514.999999999987,3372200,4,812,0.812,1812,363,293,130,0.13,162.22799610263073,0.8013413413413414,4,1812,3848,2079,254592,254.592,288420,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g1.25-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.9,11,1361,1000,0.7347538574577517,random,21042,41042,61042,2,18880100,18880.1,3800.0,4500.0,229105.99999999907,2961700,19,4564,4.564,5564,799,537,357,0.357,367.00955180014694,0.9727267267267268,5,5564,2430,361,138352,138.352,227692,True,1075325229156238333,1144060348074079302,2305843009213693951
n1000-g3-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.7,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,9823700,9823.7,3800.0,4300.0,5700.999999999999,3857200,5,1087,1.087,2087,400,324,133,0.133,157.9196964906734,0.8422002002002003,3,2087,4212,2163,259200,259.2,321684,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g1.25-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2884399490725909,0.7,11,1709,1000,0.5851375073142189,random,21042,41042,61042,2,20849100,20849.1,3900.0,4900.0,228339.99999999886,3916200,20,4498,4.498,5498,629,467,267,0.267,292.2761849034523,0.9135195195195196,4,5498,3070,709,162512,162.512,270676,True,1254001137605848056,1967034465992936071,2305843009213693951
n1000-g4-t0.7-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,21042,41042,61042,2,9285700,9285.7,3900.0,5800.0,9501.0,3302900,4,710,0.71,1710,310,256,130,0.13,162.22799610263073,0.8013413413413414,4,1710,3848,2079,254592,254.592,283472,True,2011184558553096122,19687810642650080,2305843009213693951
n1000-g3-t0.8-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.8,11,3163,1000,0.3161555485298767,random,21042,41042,61042,2,10423800,10423.8,3900.0,5300.0,23305.999999999993,4019500,5,1243,1.243,2243,492,382,133,0.133,157.9196964906734,0.8422002002002003,3,2243,4212,2163,259200,259.2,328308,True,1188444190361409708,1222792329126878359,2305843009213693951
n1000-g2-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.9,11,1597,1000,0.6261740763932373,random,21042,41042,61042,2,9517200,9517.2,3600.0,4804.999999999995,21501.0,2732900,7,1409,1.409,2409,644,471,322,0.322,312.77395115842205,1.0294974974974975,5,2409,2394,597,155472,155.472,205316,True,1852154909246091954,673350768184342330,2305843009213693951
n1000-g1.5-t0.9-r2-h61042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.9,11,1289,1000,0.7757951900698216,random,21042,41042,61042,2,12169200,12169.2,4000.0,5200.0,44401.0,2748000,11,2246,2.246,3246,686,489,408,0.408,387.5096974398759,1.0528768768768768,5,3246,2146,289,133712,133.712,194968,True,679054236071952800,436588455935247705,2305843009213693951
n1000-g4-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.5,11,3079,1000,0.3247807729782397,random,31042,61042,91042,3,8209500,8209.5,3600.0,6700.0,22600.999999999996,2714300,4,507,0.507,1507,232,211,146,0.146,162.22799610263073,0.899967967967968,3,1507,3848,2079,254112,254.112,272472,True,450687491159988125,478393709983906151,2305843009213693951
n1000-g1.5-t0.8-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.543133042590002,0.8,11,1289,1000,0.7757951900698216,random,31042,61042,91042,3,11610700,11610.7,4000.0,4700.0,47516.99999999989,2451700,11,1995,1.995,2995,643,466,365,0.365,387.5096974398759,0.9419119119119119,5,2995,2146,289,134320,134.32,189012,True,899562782064138328,574077191073454396,2305843009213693951
n1000-g2-t0.7-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.7,11,1597,1000,0.6261740763932373,random,31042,61042,91042,3,9601300,9601.3,4100.0,5800.0,8308.999999999993,2399000,7,1093,1.093,2093,495,388,296,0.296,312.77395115842205,0.9463703703703703,4,2093,2394,597,155920,155.92,195088,True,1472131402324698637,1317599128310044882,2305843009213693951
n1000-g3-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,3.0,3.105358850890993,0.5,11,3163,1000,0.3161555485298767,random,31042,61042,91042,3,9142500,9142.5,3900.0,4300.0,7500.999999999999,3200200,5,776,0.776,1776,284,250,153,0.153,157.9196964906734,0.9688468468468469,3,1776,4212,2163,258592,258.592,308136,True,1185922051791028958,1543093448577332183,2305843009213693951
n1000-g4-t0.9-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.9,11,3079,1000,0.3247807729782397,random,31042,61042,91042,3,8634600,8634.6,3600.0,4100.0,5000.999999999999,3313900,4,914,0.914,1914,487,378,146,0.146,162.22799610263073,0.899967967967968,3,1914,3848,2079,254112,254.112,292664,True,450687491159988125,478393709983906151,2305843009213693951
n1000-g1.25-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2866303730753477,0.5,11,2137,1000,0.4679457182966776,random,31042,61042,91042,3,19849900,19849.9,3500.0,5904.999999999995,256992.99999999892,3289400,21,4065,4.065,5065,401,336,217,0.217,233.73888628919045,0.9283863863863864,3,5065,3846,1137,191792,191.792,316136,True,436248592270819239,114384206460466260,2305843009213693951
n1000-g1.5-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5375603143577163,0.5,11,2927,1000,0.341646737273659,random,31042,61042,91042,3,16938400,16938.4,3700.0,8000.0,80576.99999999974,4098600,13,2863,2.863,3863,408,333,163,0.163,170.65254526819268,0.9551571571571572,3,3863,4876,1927,245120,245.12,390968,True,26552125050180453,683421007242339203,2305843009213693951
n1000-g2-t0.5-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.032666219705446,0.5,11,3203,1000,0.3122073056509522,random,31042,61042,91042,3,11685700,11685.7,3600.0,4000.0,18961.99999999994,3682000,8,1579,1.579,2579,338,292,136,0.136,155.94754917265064,0.8720880880880881,4,2579,4800,2203,261408,261.408,368836,True,523428011606557431,2036629246836724819,2305843009213693951
n1000-g4-t0.8-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.8,11,3079,1000,0.3247807729782397,random,31042,61042,91042,3,8810500,8810.5,3600.0,4000.0,6322.999999999979,3445700,4,812,0.812,1812,407,328,146,0.146,162.22799610263073,0.899967967967968,3,1812,3848,2079,254112,254.112,287780,True,450687491159988125,478393709983906151,2305843009213693951
n1000-g2-t0.8-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.8,11,1597,1000,0.6261740763932373,random,31042,61042,91042,3,9144200,9144.2,3600.0,4200.0,7110.99999999999,2374600,7,1251,1.251,2251,551,419,296,0.296,312.77395115842205,0.9463703703703703,4,2251,2394,597,155920,155.92,200376,True,1472131402324698637,1317599128310044882,2305843009213693951
n1000-g4-t0.7-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,4.0,4.091659060195906,0.7,11,3079,1000,0.3247807729782397,random,31042,61042,91042,3,8659900,8659.9,3700.0,6100.0,15100.0,3141200,4,710,0.71,1710,348,293,146,0.146,162.22799610263073,0.899967967967968,3,1710,3848,2079,254112,254.112,282736,True,450687491159988125,478393709983906151,2305843009213693951
n1000-g2-t0.9-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,2.0,2.036527741565147,0.9,11,1597,1000,0.6261740763932373,random,31042,61042,91042,3,10144300,10144.3,3700.0,4800.0,24902.999999999996,2711400,7,1409,1.409,2409,612,453,296,0.296,312.77395115842205,0.9463703703703703,4,2409,2394,597,155920,155.92,205596,True,1472131402324698637,1317599128310044882,2305843009213693951
n1000-g1.5-t0.7-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.5,1.5405406911613417,0.7,11,1949,1000,0.513083632632119,random,31042,61042,91042,3,14530100,14530.1,3900.0,4400.0,42180.99999999983,3550200,12,2646,2.646,3646,565,436,245,0.245,256.2852744997435,0.9559659659659658,4,3646,3238,949,178640,178.64,276220,True,779916671900386506,1595845193837513214,2305843009213693951
n1000-g1.25-t0.8-r3-h91042,2efaf1348f57,3.14.3,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 170 Stepping 4, GenuineIntel",1000,1.25,1.2901634020556063,0.8,11,1361,1000,0.7347538574577517,random,31042,61042,91042,3,18519600,18519.6,3800.0,9800.0,213107.99999999916,2799600,19,4055,4.055,5055,701,512,336,0.336,367.00955180014694,0.9155075075075075,6,5055,2430,361,139088,139.088,221196,True,1784500499880210354,481735091600411253,2305843009213693951
